,brief,full
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes", 
REACTOME_FREE_FATTY_ACID_RECEPTORS,Free fatty acid receptors, 
REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION,Free fatty acids regulate insulin secretion, 
REACTOME_FRS_MEDIATED_FGFR1_SIGNALING,FRS-mediated FGFR1 signaling, 
REACTOME_FRS_MEDIATED_FGFR2_SIGNALING,FRS-mediated FGFR2 signaling, 
REACTOME_FRS_MEDIATED_FGFR3_SIGNALING,FRS-mediated FGFR3 signaling, 
REACTOME_FRS_MEDIATED_FGFR4_SIGNALING,FRS-mediated FGFR4 signaling, 
REACTOME_FRUCTOSE_CATABOLISM,Fructose catabolism, 
REACTOME_FRUCTOSE_METABOLISM,Fructose metabolism, 
REACTOME_G0_AND_EARLY_G1,G0 and Early G1, 
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,G1/S DNA Damage Checkpoints, 
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,G1/S-Specific Transcription, 
REACTOME_G2_M_CHECKPOINTS,G2/M Checkpoints, 
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,G2/M DNA damage checkpoint, 
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT,G2/M DNA replication checkpoint, 
REACTOME_G2_PHASE,G2 Phase, 
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS,G alpha (12/13) signalling events, 
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,G alpha (i) signalling events, 
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,G alpha (q) signalling events, 
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,G alpha (s) signalling events, 
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS,G alpha (z) signalling events, 
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_CDC42,G beta:gamma signalling through CDC42, 
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA,G beta:gamma signalling through PI3Kgamma, 
REACTOME_G_PROTEIN_ACTIVATION,G-protein activation, 
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,G-protein beta:gamma signalling, 
REACTOME_G_PROTEIN_MEDIATED_EVENTS,G-protein mediated events, 
REACTOME_GAB1_SIGNALOSOME,GAB1 signalosome, 
REACTOME_GABA_B_RECEPTOR_ACTIVATION,GABA B receptor activation, 
REACTOME_GABA_RECEPTOR_ACTIVATION,GABA receptor activation, 
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,"GABA synthesis, release, reuptake and degradation", 
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION,"Gamma carboxylation, hypusine formation and arylsulfatase activation", 
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins", 
REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER,Gap-filling DNA repair synthesis and ligation in GG-NER, 
REACTOME_GAP_JUNCTION_ASSEMBLY,Gap junction assembly, 
REACTOME_GAP_JUNCTION_DEGRADATION,Gap junction degradation, 
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,Gap junction trafficking and regulation, 
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK,Gastrin-CREB signalling pathway via PKC and MAPK, 
REACTOME_GDP_FUCOSE_BIOSYNTHESIS,GDP-fucose biosynthesis, 
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation, 
REACTOME_GENE_SILENCING_BY_RNA,Gene Silencing by RNA, 
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,Generation of second messenger molecules, 
REACTOME_GERM_LAYER_FORMATION_AT_GASTRULATION,Germ layer formation at gastrulation, 
REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION,GLI proteins bind promoters of Hh responsive genes to promote transcription, 
REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,Global Genome Nucleotide Excision Repair (GG-NER), 
REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion, 
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,Glucagon signaling in metabolic regulation, 
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS,Glucagon-type ligand receptors, 
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,Glucocorticoid biosynthesis, 
REACTOME_GLUCONEOGENESIS,Gluconeogenesis, 
REACTOME_GLUCOSE_METABOLISM,Glucose metabolism, 
REACTOME_GLUCURONIDATION,Glucuronidation, 
REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM,Glutamate and glutamine metabolism, 
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,Glutamate Neurotransmitter Release Cycle, 
REACTOME_GLUTATHIONE_CONJUGATION,Glutathione conjugation, 
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,Glutathione synthesis and recycling, 
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,Glycerophospholipid biosynthesis, 
REACTOME_GLYCEROPHOSPHOLIPID_CATABOLISM,Glycerophospholipid catabolism, 
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,Glycogen breakdown (glycogenolysis), 
REACTOME_GLYCOGEN_METABOLISM,Glycogen metabolism, 
REACTOME_GLYCOGEN_STORAGE_DISEASES,Glycogen storage diseases, 
REACTOME_GLYCOGEN_SYNTHESIS,Glycogen synthesis, 
REACTOME_GLYCOLYSIS,Glycolysis, 
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Glycosaminoglycan metabolism, 
REACTOME_GLYCOSPHINGOLIPID_METABOLISM,Glycosphingolipid metabolism, 
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,Glyoxylate metabolism and glycine degradation, 
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,Golgi Associated Vesicle Biogenesis, 
REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION,Golgi Cisternae Pericentriolar Stack Reorganization, 
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,Golgi-to-ER retrograde transport, 
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING,GP1b-IX-V activation signalling, 
REACTOME_GPCR_LIGAND_BINDING,GPCR ligand binding, 
REACTOME_GPER1_SIGNALING,GPER1 signaling, 
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,GPVI-mediated activation cascade, 
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,GRB2 events in ERBB2 signaling, 
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,GRB2:SOS provides linkage to MAPK signaling for Integrins, 
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING,GRB7 events in ERBB2 signaling, 
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,Growth hormone receptor signaling, 
REACTOME_HATS_ACETYLATE_HISTONES,HATs acetylate histones, 
REACTOME_HCMV_EARLY_EVENTS,HCMV Early Events, 
REACTOME_HCMV_INFECTION,HCMV Infection, 
REACTOME_HCMV_LATE_EVENTS,HCMV Late Events, 
REACTOME_HDACS_DEACETYLATE_HISTONES,HDACs deacetylate histones, 
REACTOME_HDL_ASSEMBLY,HDL assembly, 
REACTOME_HDL_CLEARANCE,HDL clearance, 
REACTOME_HDL_REMODELING,HDL remodeling, 
REACTOME_HDMS_DEMETHYLATE_HISTONES,HDMs demethylate histones, 
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,HDR through Homologous Recombination (HRR), 
REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ,HDR through MMEJ (alt-NHEJ), 
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA,HDR through Single Strand Annealing (SSA), 
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,Hedgehog ligand biogenesis, 
REACTOME_HEDGEHOG_OFF_STATE,Hedgehog 'off' state, 
REACTOME_HEDGEHOG_ON_STATE,Hedgehog 'on' state, 
REACTOME_HEME_BIOSYNTHESIS,Heme biosynthesis, 
REACTOME_HEME_DEGRADATION,Heme degradation, 
REACTOME_HEME_SIGNALING,Heme signaling, 
REACTOME_HEMOSTASIS,Hemostasis, 
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,Heparan sulfate/heparin (HS-GAG) metabolism, 
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS,Highly calcium permeable nicotinic acetylcholine receptors, 
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors, 
REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors, 
REACTOME_HISTIDINE_CATABOLISM,Histidine catabolism, 
REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY,HIV elongation arrest and recovery, 
REACTOME_HIV_INFECTION,HIV Infection, 
REACTOME_HIV_LIFE_CYCLE,HIV Life Cycle, 
REACTOME_HIV_TRANSCRIPTION_ELONGATION,HIV Transcription Elongation, 
REACTOME_HIV_TRANSCRIPTION_INITIATION,HIV Transcription Initiation, 
REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE,Homologous DNA Pairing and Strand Exchange, 
REACTOME_HOMOLOGY_DIRECTED_REPAIR,Homology Directed Repair, 
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS,Hormone ligand-binding receptors, 
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,Host Interactions of HIV factors, 
REACTOME_HS_GAG_BIOSYNTHESIS,HS-GAG biosynthesis, 
REACTOME_HS_GAG_DEGRADATION,HS-GAG degradation, 
REACTOME_HSF1_ACTIVATION,HSF1 activation, 
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,HSF1-dependent transactivation, 
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand, 
REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA,HuR (ELAVL1) binds and stabilizes mRNA, 
REACTOME_HYALURONAN_BIOSYNTHESIS_AND_EXPORT,Hyaluronan biosynthesis and export, 
REACTOME_HYALURONAN_METABOLISM,Hyaluronan metabolism, 
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION,Hyaluronan uptake and degradation, 
REACTOME_HYDROLYSIS_OF_LPC,Hydrolysis of LPC, 
REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID,IkBA variant leads to EDA-ID, 
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1,IKK complex recruitment mediated by RIP1, 
REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS,IL-6-type cytokine receptor ligand interactions, 
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell, 
REACTOME_INACTIVATION_OF_CDC42_AND_RAC1,Inactivation of CDC42 and RAC1, 
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,Inactivation of CSF3 (G-CSF) signaling, 
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION,"Incretin synthesis, secretion, and inactivation", 
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,Infection with Mycobacterium tuberculosis, 
REACTOME_INFECTIOUS_DISEASE,Infectious disease, 
REACTOME_INFLAMMASOMES,Inflammasomes, 
REACTOME_INFLUENZA_INFECTION,Influenza Infection, 
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,Inhibition of DNA recombination at telomere, 
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,Inhibition of replication initiation of damaged DNA by RB1/E2F1, 
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components, 
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,Initial triggering of complement, 
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,Initiation of Nuclear Envelope (NE) Reformation, 
REACTOME_INLA_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELLS,InlA-mediated entry of Listeria monocytogenes into host cells, 
REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL,InlB-mediated entry of Listeria monocytogenes into host cell, 
REACTOME_INNATE_IMMUNE_SYSTEM,Innate Immune System, 
REACTOME_INOSITOL_PHOSPHATE_METABOLISM,Inositol phosphate metabolism, 
REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane, 
REACTOME_INSULIN_PROCESSING,Insulin processing, 
REACTOME_INSULIN_RECEPTOR_RECYCLING,Insulin receptor recycling, 
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE,Insulin receptor signalling cascade, 
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,Integration of energy metabolism, 
REACTOME_INTEGRATION_OF_PROVIRUS,Integration of provirus, 
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,Integrin cell surface interactions, 
REACTOME_INTEGRIN_SIGNALING,Integrin signaling, 
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS,Interaction between L1 and Ankyrins, 
REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA,Interaction With Cumulus Cells And The Zona Pellucida, 
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,Interactions of Rev with host cellular proteins, 
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS,Interactions of Vpr with host cellular proteins, 
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,Interconversion of nucleotide di- and triphosphates, 
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,Interferon alpha/beta signaling, 
REACTOME_INTERFERON_GAMMA_SIGNALING,Interferon gamma signaling, 
REACTOME_INTERFERON_SIGNALING,Interferon Signaling, 
REACTOME_INTERLEUKIN_10_SIGNALING,Interleukin-10 signaling, 
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,Interleukin-12 family signaling, 
REACTOME_INTERLEUKIN_12_SIGNALING,Interleukin-12 signaling, 
REACTOME_INTERLEUKIN_15_SIGNALING,Interleukin-15 signaling, 
REACTOME_INTERLEUKIN_17_SIGNALING,Interleukin-17 signaling, 
REACTOME_INTERLEUKIN_18_SIGNALING,Interleukin-18 signaling, 
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,Interleukin-1 family signaling, 
REACTOME_INTERLEUKIN_1_PROCESSING,Interleukin-1 processing, 
REACTOME_INTERLEUKIN_1_SIGNALING,Interleukin-1 signaling, 
REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING,Interleukin-20 family signaling, 
REACTOME_INTERLEUKIN_21_SIGNALING,Interleukin-21 signaling, 
REACTOME_INTERLEUKIN_23_SIGNALING,Interleukin-23 signaling, 
REACTOME_INTERLEUKIN_27_SIGNALING,Interleukin-27 signaling, 
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,Interleukin-2 family signaling, 
REACTOME_INTERLEUKIN_2_SIGNALING,Interleukin-2 signaling, 
REACTOME_INTERLEUKIN_35_SIGNALLING,Interleukin-35 Signalling, 
REACTOME_INTERLEUKIN_36_PATHWAY,Interleukin-36 pathway, 
REACTOME_INTERLEUKIN_37_SIGNALING,Interleukin-37 signaling, 
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,"Interleukin-3, Interleukin-5 and GM-CSF signaling", 
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,Interleukin-4 and Interleukin-13 signaling, 
REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING,Interleukin-6 family signaling, 
REACTOME_INTERLEUKIN_6_SIGNALING,Interleukin-6 signaling, 
REACTOME_INTERLEUKIN_7_SIGNALING,Interleukin-7 signaling, 
REACTOME_INTERLEUKIN_9_SIGNALING,Interleukin-9 signaling, 
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING,Interleukin receptor SHC signaling, 
REACTOME_INTESTINAL_ABSORPTION,Intestinal absorption, 
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,Intra-Golgi and retrograde Golgi-to-ER traffic, 
REACTOME_INTRA_GOLGI_TRAFFIC,Intra-Golgi traffic, 
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,Intracellular signaling by second messengers, 
REACTOME_INTRAFLAGELLAR_TRANSPORT,Intraflagellar transport, 
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,Intrinsic Pathway for Apoptosis, 
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,Intrinsic Pathway of Fibrin Clot Formation, 
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS,Inwardly rectifying K+ channels, 
REACTOME_ION_CHANNEL_TRANSPORT,Ion channel transport, 
REACTOME_ION_HOMEOSTASIS,Ion homeostasis, 
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,Ion transport by P-type ATPases, 
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS,Ionotropic activity of kainate receptors, 
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX,IRAK1 recruits IKK complex, 
REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX,IRAK2 mediated activation of TAK1 complex, 
REACTOME_IRAK4_DEFICIENCY_TLR2_4,IRAK4 deficiency (TLR2/4), 
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,IRE1alpha activates chaperones, 
REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN,IRF3 mediated activation of type 1 IFN, 
REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN,IRF3-mediated induction of type I IFN, 
REACTOME_IRON_UPTAKE_AND_TRANSPORT,Iron uptake and transport, 
REACTOME_IRS_ACTIVATION,IRS activation, 
REACTOME_IRS_MEDIATED_SIGNALLING,IRS-mediated signalling, 
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1,JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1, 
REACTOME_JOSEPHIN_DOMAIN_DUBS,Josephin domain DUBs, 
REACTOME_KEAP1_NFE2L2_PATHWAY,KEAP1-NFE2L2 pathway, 
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,Keratan sulfate biosynthesis, 
REACTOME_KERATAN_SULFATE_DEGRADATION,Keratan sulfate degradation, 
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,Keratan sulfate/keratin metabolism, 
REACTOME_KERATINIZATION,Keratinization, 
REACTOME_KETONE_BODY_METABOLISM,Ketone body metabolism, 
REACTOME_KILLING_MECHANISMS,Killing mechanisms, 
REACTOME_KINESINS,Kinesins, 
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA,KSRP (KHSRP) binds and destabilizes mRNA, 
REACTOME_L1CAM_INTERACTIONS,L1CAM interactions, 
REACTOME_LAGGING_STRAND_SYNTHESIS,Lagging Strand Synthesis, 
REACTOME_LAMININ_INTERACTIONS,Laminin interactions, 
REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,Late endosomal microautophagy, 
REACTOME_LDL_CLEARANCE,LDL clearance, 
REACTOME_LDL_REMODELING,LDL remodeling, 
REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION,Lectin pathway of complement activation, 
REACTOME_LEISHMANIA_INFECTION,Leishmania infection, 
REACTOME_LEUKOTRIENE_RECEPTORS,Leukotriene receptors, 
REACTOME_LGI_ADAM_INTERACTIONS,LGI-ADAM interactions, 
REACTOME_LIGAND_RECEPTOR_INTERACTIONS,Ligand-receptor interactions, 
REACTOME_LINOLEIC_ACID_LA_METABOLISM,Linoleic acid (LA) metabolism, 
REACTOME_LIPID_PARTICLE_ORGANIZATION,Lipid particle organization, 
REACTOME_LIPOPHAGY,Lipophagy, 
REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS,Listeria monocytogenes entry into host cells, 
REACTOME_LONG_TERM_POTENTIATION,Long-term potentiation, 
REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME,Loss of function of MECP2 in Rett syndrome, 
REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER,Loss of Function of SMAD2/3 in Cancer, 
REACTOME_LOSS_OF_MECP2_BINDING_ABILITY_TO_THE_NCOR_SMRT_COMPLEX,Loss of MECP2 binding ability to the NCoR/SMRT complex, 
REACTOME_LRR_FLII_INTERACTING_PROTEIN_1_LRRFIP1_ACTIVATES_TYPE_I_IFN_PRODUCTION,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production, 
REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION,LTC4-CYSLTR mediated IL4 production, 
REACTOME_LYSINE_CATABOLISM,Lysine catabolism, 
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,Lysosome Vesicle Biogenesis, 
REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS,Lysosphingolipid and LPA receptors, 
REACTOME_M_PHASE,M Phase, 
REACTOME_MAP2K_AND_MAPK_ACTIVATION,MAP2K and MAPK activation, 
REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION,MAP3K8 (TPL2)-dependent MAPK1/3 activation, 
REACTOME_MAPK1_ERK2_ACTIVATION,MAPK1 (ERK2) activation, 
REACTOME_MAPK3_ERK1_ACTIVATION,MAPK3 (ERK1) activation, 
REACTOME_MAPK6_MAPK4_SIGNALING,MAPK6/MAPK4 signaling, 
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,MAPK family signaling cascades, 
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,MAPK targets/ Nuclear events mediated by MAP kinases, 
REACTOME_MASTL_FACILITATES_MITOTIC_PROGRESSION,MASTL Facilitates Mitotic Progression, 
REACTOME_MATURATION_OF_PROTEIN_3A,Maturation of protein 3a, 
REACTOME_MATURATION_OF_SARSCOV1_NUCLEOPROTEIN,Maturation of SARS-CoV-1 nucleoprotein, 
REACTOME_MATURATION_OF_SARSCOV1_SPIKE_PROTEIN,Maturation of SARS-CoV-1 spike protein, 
REACTOME_MATURATION_OF_SARSCOV2_NUCLEOPROTEIN,Maturation of SARS-CoV-2 nucleoprotein, 
REACTOME_MATURATION_OF_SARSCOV2_SPIKE_PROTEIN,Maturation of SARS-CoV-2 spike protein, 
REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS,MECP2 regulates neuronal receptors and channels, 
REACTOME_MECP2_REGULATES_TRANSCRIPTION_FACTORS,MECP2 regulates transcription factors, 
REACTOME_MECP2_REGULATES_TRANSCRIPTION_OF_NEURONAL_LIGANDS,MECP2 regulates transcription of neuronal ligands, 
REACTOME_MEIOSIS,Meiosis, 
REACTOME_MEIOTIC_RECOMBINATION,Meiotic recombination, 
REACTOME_MEIOTIC_SYNAPSIS,Meiotic synapsis, 
REACTOME_MELANIN_BIOSYNTHESIS,Melanin biosynthesis, 
REACTOME_MEMBRANE_TRAFFICKING,Membrane Trafficking, 
REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING,MET activates PI3K/AKT signaling, 
REACTOME_MET_ACTIVATES_PTK2_SIGNALING,MET activates PTK2 signaling, 
REACTOME_MET_ACTIVATES_PTPN11,MET activates PTPN11, 
REACTOME_MET_ACTIVATES_RAP1_AND_RAC1,MET activates RAP1 and RAC1, 
REACTOME_MET_ACTIVATES_RAS_SIGNALING,MET activates RAS signaling, 
REACTOME_MET_INTERACTS_WITH_TNS_PROTEINS,MET interacts with TNS proteins, 
REACTOME_MET_PROMOTES_CELL_MOTILITY,MET promotes cell motility, 
REACTOME_MET_RECEPTOR_ACTIVATION,MET Receptor Activation, 
REACTOME_MET_RECEPTOR_RECYCLING,MET receptor recycling, 
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,Metabolic disorders of biological oxidation enzymes, 
REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES,Metabolism of amine-derived hormones, 
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,Metabolism of amino acids and derivatives, 
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,Metabolism of Angiotensinogen to Angiotensins, 
REACTOME_METABOLISM_OF_CARBOHYDRATES,Metabolism of carbohydrates, 
REACTOME_METABOLISM_OF_COFACTORS,Metabolism of cofactors, 
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,Metabolism of fat-soluble vitamins, 
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,Metabolism of folate and pterines, 
REACTOME_METABOLISM_OF_INGESTED_SEMET_SEC_MESEC_INTO_H2SE,"Metabolism of ingested SeMet, Sec, MeSec into H2Se", 
REACTOME_METABOLISM_OF_LIPIDS,Metabolism of lipids, 
REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION,Metabolism of nitric oxide: NOS3 activation and regulation, 
REACTOME_METABOLISM_OF_NUCLEOTIDES,Metabolism of nucleotides, 
REACTOME_METABOLISM_OF_POLYAMINES,Metabolism of polyamines, 
REACTOME_METABOLISM_OF_PORPHYRINS,Metabolism of porphyrins, 
REACTOME_METABOLISM_OF_RNA,Metabolism of RNA, 
REACTOME_METABOLISM_OF_STEROID_HORMONES,Metabolism of steroid hormones, 
REACTOME_METABOLISM_OF_STEROIDS,Metabolism of steroids, 
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Metabolism of vitamins and cofactors, 
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,Metabolism of water-soluble vitamins and cofactors, 
